Name,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
Jamar Watson,OLB,73.88,241,4.78,19,30,118,4.57,7.33
Rashad Weaver,DE,76.38,259,4.88,20,32,114,4.26,6.97
Mark Webb,CB,73.5,207,4.61,,36.5,136,4.52,7.3
Pete Werner,OLB,74.88,238,4.62,20,39.5,122,4.38,6.9
Brady White,QB,73,210,4.84,,29,118,4.33,6.97
Brendon White,SS,73.38,215,4.66,19,34.5,112,4.33,6.82
Jarell White,SS,68.75,202,4.58,22,35,125,4.35,7.21
Lawrence White,FS,71.88,195,4.62,14,33.5,120,4.38,7.12
James Wiggins,FS,71.25,209,4.42,22,38,127,,
Chris Wilcox,CB,73.63,198,4.39,,37.5,126,4.3,7.19
Rachad Wildgoose,CB,71.25,197,4.53,11,36,120,4.18,7.09
Avery Williams,CB,68.38,187,4.43,19,33.5,121,4,6.88
Javonte Williams,RB,69.63,212,4.57,22,36,123,4.09,6.93
Marlon Williams,WR,71.25,209,4.66,14,33.5,119,4.57,
Pooka Williams,RB,69.63,170,4.46,4,31.5,118,4.26,7.03
Rodarius Williams,CB,71.75,189,4.53,14,36.5,123,4.18,6.95
Seth Williams,WR,75,211,4.49,12,37,124,4.43,7.2
Trill Williams,CB,72.38,208,4.59,20,36,123,4.27,7.17
Marvin Wilson,DT,75.88,303,5.09,23,25.5,107,4.83,7.71
Zach Wilson,QB,74.13,214,,,,113,,
Lawrence Woods,CB,69.5,182,4.52,13,37.5,124,4.28,7.08
Kenny Yeboah,TE,75.88,250,,15,34,116,,
Landon Young,OT,78.13,310,5.18,34,30.5,108,4.89,7.7
Zane Zandier,ILB,74.75,228,4.76,18,37,119,4.28,7.14
Trey Adams,OT,80,318,5.6,,24.5,92,,
Hakeem Adeniji,OG,76.38,300,5.17,26,34,115,5.08,8.32
McTelvin Agim,DT,74.63,309,4.98,27,30.5,,4.66,7.55
Salvon Ahmed,RB,70.88,197,4.62,,34.5,120,,
Brandon Aiyuk,WR,71.63,205,4.5,11,40,128,,
Cam Akers,RB,70.38,217,4.47,20,35.5,122,4.42,
Bradlee Anae,DE,75.38,257,4.93,25,31,115,4.43,7.44
Tremayne Anchrum,OG,73.88,314,5.21,26,24.5,104,,
Darius Anderson,RB,70.5,208,4.61,19,36,128,4.19,
Damon Arnette,CB,71.63,195,4.56,,,,,
Grayland Arnold,S,69.13,186,4.59,12,33,120,4.3,7.01
Devin Asiasi,TE,75,257,4.73,16,30.5,115,,
Joe Bachie,LB,73,230,4.67,26,33.5,119,4.34,6.93
Markus Bailey,LB,72.13,235,,15,,,,
Trajan Bandy,CB,67.75,180,4.5,10,,,,
Ben Bartch,OT,77.75,309,,,,,,
Tyler Bass,K,70.5,185,,,,,,
Essang Bassey,CB,69.38,191,4.46,12,39.5,128,4.13,6.95
Zack Baun,LB,74.38,238,4.65,24,32.5,115,4.31,7
Omar Bayless,WR,72.75,212,4.62,11,36,123,4.5,7.35
Mekhi Becton,OT,79.38,364,5.1,23,,,,
Levante Bellamy,RB,68.88,192,4.5,16,39.5,125,,
Eno Benjamin,RB,68.88,207,4.57,12,39,122,4.25,6.97
Francis Bernard,LB,72.38,234,4.81,19,32.5,120,,
Tyler Biadasz,C,75.63,314,,,,,,
Daniel Bituli,LB,74,246,4.84,16,32,121,,
Ross Blacklock,DT,75.13,290,4.9,,29,107,4.67,7.77
Julian Blackmon,S,71.75,187,,,,,,
Rodrigo Blankenship,K,73,190,,,,,,
Lynn Bowden,RB,70.63,204,,13,,,,
Shaun Bradley,LB,72.63,235,4.51,14,32.5,121,4.24,7.07
Ben Bredeson,OG,76.63,315,,,,,,
Jacob Breeland,TE,76.88,252,,,,,,
Antoine Brooks,S,70.63,220,4.64,18,34.5,,,
Jordyn Brooks,LB,72,240,4.54,,,,,
Cameron Brown,LB,77.25,233,4.72,16,35.5,123,,
Derrick Brown,DT,76.63,326,5.16,28,27,108,4.79,8.22
Tony Brown,OT,73,195,4.65,14,33.5,119,4.27,7.21
Harrison Bryant,TE,76.75,243,4.73,13,32.5,110,4.37,7.41
Hunter Bryant,TE,74.25,248,4.74,23,32.5,115,4.46,7.08
Kelly Bryant,QB,75.13,229,4.69,,35,125,4.51,7.33
Myles Bryant,CB,69,185,4.62,,31.5,115,4.02,6.81
Terrell Burgess,S,71.38,202,4.46,20,33.5,122,,
Joe Burrow,QB,75.63,221,,,,,,
Cohl Cabral,C,76.88,300,,20,,,,
Lawrence Cager,WR,76.75,220,,,,,,
Raymond Calais,RB,67.88,188,4.42,20,37.5,120,,
Marquez Callaway,WR,73.25,205,4.55,,38,126,,
Shyheim Carter,S,72,191,,,,,,
Quintez Cephus,WR,72.88,202,4.73,23,38.5,124,4.33,7.2
K'Lavon Chaisson,LB,75,254,,,,,,
Saahdiq Charles,OT,76.13,321,5.05,,,,,
Joseph Charlton,P,76.5,195,,,,,,
Jeremy Chinn,S,75,221,4.45,20,41,138,,
Cameron Clarke,OG,76.5,308,5.29,26,25,101,,
Nevelle Clarke,CB,72.88,190,,10,35,126,4.31,6.88
Chase Claypool,WR,76.25,238,4.42,19,40.5,126,,
Rodney Clemons,S,71.63,209,4.71,21,33.5,118,,
Ezra Cleveland,OT,78,311,4.93,30,30,111,4.46,7.26
Tyrie Cleveland,WR,74,205,4.46,13,39.5,126,,
Josiah Coatney,DE,76,309,5.21,22,27,99,4.82,8.07
Nick Coe,DE,76.63,280,4.89,21,29,116,4.59,7.29
Brian Cole,S,73.75,213,4.52,,,,,
Kendall Coleman,DE,75,253,4.95,,32,114,4.62,7.5
Trystan Colon-Castillo,C,76,315,,11,,,,
Carter Coughlin,LB,75.13,236,4.57,,36,126,,
Isaiah Coulter,WR,73.88,198,4.45,,36,121,4.62,7.28
Kamren Curl,S,74,198,4.6,24,34.5,125,,
Lloyd Cushenberry,C,75.13,312,5.27,25,,,,
DeeJay Dallas,RB,70.13,217,4.58,,33.5,119,4.32,7.18
Darrion Daniels,DT,75,325,5.18,21,27,109,4.93,7.75
Cameron Dantzler,CB,74.25,188,4.64,,34.5,,,
Kevin Davidson,QB,76.13,224,5,,28,109,4.37,7.13
Marlon Davidson,DT,75.38,303,5.04,21,,,,
Ashtyn Davis,S,72.88,202,,14,,,,
Carlos Davis,DT,74,313,4.82,27,27.5,8,4.52,
Gabriel Davis,WR,74,216,4.54,14,35,124,4.59,7.08
Javaris Davis,CB,68.5,183,4.39,11,35.5,124,,
Khalil Davis,DT,73,308,4.75,32,32.5,9,,
Quartney Davis,WR,73.25,201,4.54,,35.5,,,
Raekwon Davis,DT,78.13,311,5.12,24,28,111,4.86,7.95
Akeem Davis-Gaither,LB,73.5,224,,21,,,,
Josiah Deguara,TE,74.38,242,4.72,25,35.5,115,4.35,7.15
Grant Delpit,S,74.5,213,,,,,,
Trevon Diggs,CB,73.38,205,,,,,,
A.J. Dillon,RB,72.38,247,4.53,23,41,131,,7.19
Michael Divinity,LB,74,241,4.85,14,31,115,,
J.K. Dobbins,RB,69.5,209,,23,,,,
Rico Dowdle,RB,72,215,4.54,,38,127,,
Jack Driscoll,OT,76.63,306,5.02,23,29.5,114,,
Kyle Dugger,S,72.88,217,4.49,17,42,134,,
Yasir Durant,OT,78,331,5.52,21,25,,,
Devin Duvernay,WR,70.5,200,4.39,,35.5,123,4.2,7.13
Troy Dye,LB,75.25,231,,,,,,
Jacob Eason,QB,77.88,231,4.89,,27.5,110,4.75,7.5
Bryan Edwards,WR,74.75,212,,,,,,
Clyde Edwards-Helaire,RB,67.25,207,4.6,15,39.5,123,,
Jalen Elliott,S,72.38,205,4.8,15,34,125,4.3,6.87
Jordan Elliott,DT,75.88,302,5.02,24,27.5,,4.73,
A.J. Epenesa,DE,77.13,275,5.04,17,32.5,117,4.46,7.34
Darrynton Evans,RB,70.13,203,4.41,20,37,125,,
Blake Ferguson,LS,74.63,229,5.07,,31,112,4.52,7.43
Chris Finke,WR,70,184,4.57,7,40,,,
Leki Fotu,DT,77.38,330,5.15,21,,,,
Jake Fromm,QB,73.88,219,5.01,,30,111,4.51,7.27
Aaron Fuller,WR,70.75,188,4.59,,34,118,,7.14
Jordan Fuller,S,73.88,203,4.67,,35.5,122,4.27,
Kristian Fulton,CB,71.63,197,4.46,,35.5,123,4.36,6.94
Tipa Galeai,LB,77,235,,,,,,
Neville Gallimore,DT,74,304,4.79,23,30,9,5.01,7.97
Antonio Gandy-Golden,WR,76,223,4.6,22,36,127,4.55,7.33
Cale Garrett,LB,73.75,234,4.92,,32,124,4.13,6.91
Jonathan Garvin,LB,76.13,263,4.82,23,36,125,,
Willie Gay,LB,73.13,243,4.46,21,39.5,136,4.3,7.08
Antonio Gibson,RB,72.38,228,4.39,16,35,118,,
Alohi Gilman,S,70.5,201,4.6,17,32,119,4.08,6.81
Trevis Gipson,LB,75.38,254,4.73,25,34,10,4.33,7.57
Jeff Gladney,CB,70.25,191,4.48,17,37.5,124,,7.26
Anthony Gordon,QB,74.38,205,,,,,,
A.J. Green,CB,73.5,202,4.62,13,34,9,4.28,7.2
Jonathan Greenard,DE,75.38,263,4.87,22,30.5,113,4.34,7.13
Yetur Gross-Matos,DE,77,266,,20,34,120,,
Stephen Guidry,WR,76,200,4.47,,34,125,4.46,7.31
Bryce Hall,CB,73.13,202,,11,,,,
DaVon Hamilton,DT,75.75,320,5.14,33,29.5,102,,7.72
LaDarius Hamilton,DE,75,260,4.89,27,30,114,4.49,7.66
K.J. Hamler,WR,68.63,178,,15,,,,
Harrison Hand,CB,71.13,197,4.52,14,41,133,4.27,7.15
Jake Hanson,C,76.38,303,5.5,33,,,,
DeJon Harris,LB,71.63,234,4.69,18,33,111,4.32,7.38
Nick Harris,C,72.88,302,5.1,20,29.5,103,,
Malik Harrison,LB,74.63,247,4.66,,36,122,4.32,6.83
JaMycal Hasty,RB,68,205,4.55,15,39,123,4.03,
Jaylinn Hawkins,S,74,210,,,35.5,117,,
Charlie Heck,OT,79.63,311,5.16,21,28,112,4.86,8.02
C.J. Henderson,CB,72.75,204,4.39,20,37.5,127,,
Matt Hennessy,C,75.88,307,5.18,23,30,110,4.6,7.45
Justin Herbert,QB,78.25,236,4.68,,35.5,123,4.46,7.06
Brian Herrien,RB,71.13,209,4.62,18,38.5,126,4.4,7.12
Justin Herron,OG,77,290,5.26,27,33,105,4.88,8.41
Tee Higgins,WR,75.63,216,4.59,,31,10,4.53,
Alex Highsmith,DE,75.13,248,4.7,,33,125,4.31,7.32
John Hightower,WR,73.5,189,4.43,,38.5,122,4.21,7.07
K.J. Hill,WR,71.88,196,4.6,17,32.5,114,,
Lavert Hill,CB,70,190,,21,,,,
Trevon Hill,DE,74.88,248,4.89,,28,113,,
Isaiah Hodgins,WR,75.63,210,4.61,9,36.5,124,4.12,7.01
Sterling Hofrichter,P,69.63,196,,,,,,
Darnay Holmes,CB,69.75,195,4.48,12,,,,
Brycen Hopkins,TE,75.88,245,4.66,21,33.5,116,4.28,7.25
Khaleke Hudson,LB,71,224,4.56,30,33,120,,
Robert Hunt,OG,77.13,323,,,,,,
Jalen Hurts,QB,73,222,4.59,,35,125,,
Noah Igbinoghene,CB,70.38,198,4.48,15,37,128,4.19,7.1
Keith Ismael,C,74.88,309,5.34,,32,108,4.65,8.14
Cordel Iwuagwu,OG,75,311,5.22,25,27,94,4.87,8.03
Austin Jackson,OT,76.88,322,5.07,27,31,115,,7.95
Dane Jackson,CB,71.63,187,4.57,,35,122,4.27,7.07
Jonah Jackson,OG,75.5,306,5.23,28,26,98,5.02,7.83
Lamar Jackson,CB,74,208,4.58,10,36.5,122,4.42,7.28
Trishton Jackson,WR,72.75,197,4.5,,36,117,,
Justin Jefferson,WR,73.25,202,4.43,,37.5,126,,
Van Jefferson,WR,73.5,200,,,,,,
Anfernee Jennings,LB,74.13,256,,,,,,
Jauan Jennings,WR,75.13,215,4.72,,29,119,,
Jerry Jeudy,WR,73,193,4.45,,35,120,4.53,
Collin Johnson,WR,77.63,222,,17,,,,
Jaylon Johnson,CB,71.88,193,4.5,15,36.5,124,4.13,7.01
Juwan Johnson,WR,76,230,4.58,14,33,124,4.37,6.94
Tyler Johnson,WR,73.38,206,,,,,,
Clay Johnston,LB,73,232,,18,,,,
Benito Jones,DT,73,316,5.26,,26.5,,5.27,8.21
Brandon Jones,FB,71.13,198,,,,,,
Josh Jones,OT,77,319,5.27,24,28.5,109,,
Tony Jones,WR,71,224,4.68,13,32.5,119,4.21,7.18
Azur Kamara,LB,75.25,242,4.59,13,28,121,4.46,7.2
Khalid Kareem,DE,75.75,268,,,,,,
Dalton Keene,DT,76.13,253,4.71,21,34,125,4.19,7.07
Joshua Kelley,RB,70.63,212,4.49,23,31,121,4.28,6.95
BoPete Keyes,CB,73,200,,,36,126,,
Solomon Kindley,OG,75.25,337,,,,,,
Javon Kinlaw,DT,77.13,324,,,,,,
Cole Kmet,TE,77.75,262,4.7,,37,123,4.41,7.44
Cedarian Lamb,WR,73.63,198,4.5,11,34.5,124,,
Rashard Lawrence,DT,74,308,5.07,22,,,,8.03
Javon Leake,RB,72.13,215,4.65,,34,125,,
Benny LeMay,RB,68.13,221,4.75,24,28.5,112,,
Shane Lemieux,OG,75.88,310,5.11,26,25.5,107,4.9,8.13
Brian Lewerke,QB,74.5,213,4.95,,31,113,4.4,7.14
Damien Lewis,OG,74,327,5.24,27,30,108,,
Terrell Lewis,LB,77.25,262,,,37,124,,
Kalija Lipscomb,WR,71.88,207,4.57,16,32,127,,
Jordan Love,QB,75.75,224,4.74,,35.5,118,4.52,7.21
Jake Luton,QB,78.13,224,5.07,,28.5,,4.6,7.85
James Lynch,DT,75.63,289,5.01,23,29,111,4.39,7.39
Austin Mack,WR,73.5,208,4.59,,31.5,117,4.42,
Jordan Mack,LB,74.75,241,,,,,,
Justin Madubuike,DT,74.63,293,4.83,31,,,,7.37
Braden Mann,P,71.38,198,4.83,,31,111,4.13,7.03
Kamal Martin,LB,74.88,240,,,,,,
Cole McDonald,QB,75.13,215,4.58,,36,121,4.52,7.13
Anthony McFarland,RB,68.13,208,4.44,,29.5,116,,
Sean McKeon,TE,77,242,,18,,,,
Xavier McKinney,S,72.38,201,4.63,19,36,122,,
Colton McKivitz,OT,78.13,306,5.35,20,26,106,5,7.87
Josh Metellus,S,71,209,4.55,20,36.5,124,4.4,6.94
Chris Miller,S,72,191,4.61,12,35.5,133,4.12,7.09
Denzel Mims,WR,74.88,207,4.38,16,38.5,131,4.43,6.66
John Molchon,OG,77,318,5.13,26,34,109,4.73,7.85
JJ Molson,K,73,197,,,,,,
Steven Montez,QB,76,231,4.68,,33,117,4.43,7.25
Darnell Mooney,WR,70,176,4.38,9,37,124,,
James Morgan,QB,76,229,4.89,,29,112,4.64,7.51
Thaddeus Moss,TE,73.88,250,,,,,,
Zack Moss,RB,69.38,223,4.65,19,33,,4.37,
Larrell Murchison,DT,74.5,297,5.05,29,29,118,4.51,7.89
Kyle Murphy,OT,76,302,5.3,19,28,104,4.68,7.81
Kenneth Murray,LB,74.5,241,4.52,21,38,129,,
Tanner Muse,LB,74,227,4.41,20,34.5,124,4.12,6.94
Netane Muti,OG,74.88,315,,44,,,,
Lucas Niang,OT,78,315,,,,,,
Cheyenne O'Grady,TE,75.75,253,4.81,16,34,119,4.34,7.3
Michael Ojemudia,CB,72.63,200,4.45,,36,122,4.21,6.87
Jeff Okudah,CB,73.13,205,4.48,11,41,135,,
Julian Okwara,DE,76.25,252,,27,,,,
Albert Okwuegbunam,TE,77.5,258,4.49,,,,,
Sewo Olonilua,RB,75,240,4.66,25,36,123,4.28,
Dante Olson,LB,74.38,237,4.88,15,42,124,4.32,7
Mike Onwenu,OG,75,350,,26,,,,
K.J. Osborn,WR,72,206,4.48,18,37.5,123,4.35,7
Aaron Parker,WR,73.63,209,4.57,12,26.5,112,4.23,6.94
Colby Parkinson,TE,79.25,252,4.77,18,32.5,109,4.46,7.15
Dezmon Patmon,WR,76,228,4.48,15,36,132,4.38,7.28
Shea Patterson,QB,73,202,4.71,,31,116,4.5,7.14
Matt Peart,OT,78.63,318,5.06,26,30,113,4.92,8.01
Alex Pechin,P,72,210,4.69,13,34,,,
John Penisini,DT,74,333,,23,25.5,,4.93,
Donovan Peoples-Jones,WR,73.63,212,4.48,,44.5,139,,
La'Mical Perine,RB,70.75,216,4.62,22,35,118,4.31,7.13
Malcolm Perry,RB,69.5,186,4.63,10,36,122,4.31,7.12
Jacob Phillips,OT,75,229,4.66,,39,126,4.33,7.38
Scottie Phillips,RB,68,211,4.56,29,30,114,4.53,7.4
Tyre Phillips,OG,77,331,5.37,22,25,93,5.11,8.17
James Pierre,CB,74,185,4.59,,33.5,123,,7.02
Michael Pinckney,LB,71.13,235,,,,,,
Jared Pinkney,TE,76,257,4.96,23,,,,
Danny Pinter,OG,76.25,306,4.91,24,29.5,110,4.62,7.76
Michael Pittman,WR,76,223,4.52,13,36.5,121,4.14,6.96
Troy Pride,CB,71,194,4.4,13,35.5,119,4.26,6.94
James Proche,WR,70.63,201,,20,34.5,,4.4,7.27
Shaquille Quarterman,LB,72.5,234,4.74,23,31,120,,
Patrick Queen,LB,72.25,229,4.5,18,35,125,,
Jalen Reagor,WR,70.63,206,4.47,17,42,138,4.46,7.31
J.R. Reed,S,72.75,202,4.54,15,34,130,,
Joe Reed,QB,72.5,224,4.47,21,38,123,,
John Reid,CB,70.38,187,4.49,20,36.5,129,3.97,6.95
Chauncey Rivers,LB,75,275,4.97,20,30.5,106,4.7,7.33
Malcolm Roach,DT,74.13,297,4.84,20,30,114,,
Amik Robertson,CB,68.38,187,,,,,,
Alton Robinson,DE,74.75,264,4.69,25,35.5,119,4.32,7.32
James Robinson,RB,69,219,4.64,24,40,125,4.19,7.03
Reggie Robinson,CB,72.88,205,4.44,22,36,132,4.18,7.09
Kendrick Rogers,WR,76,204,4.51,17,35.5,124,4.48,7.13
Henry Ruggs,WR,71,188,4.27,,42,131,,
Cesar Ruiz,C,74.75,307,5.08,28,33,113,4.64,7.91
Jon Runyan,OG,76.25,306,5.08,24,30.5,107,4.69,7.57
Chapelle Russell,LB,74,236,4.69,21,35,121,4.41,7.38
Stanford Samuels,CB,74,185,4.65,,,,,
Josiah Scott,CB,69.25,185,4.42,17,,,,
Laviska Shenault,WR,72.63,227,4.58,17,,,,
Qaadir Sheppard,DE,75,252,4.83,28,31.5,115,,
Isaiah Simmons,LB,75.63,233,4.39,20,39,132,,
John Simpson,OT,76.13,321,5.24,34,30,107,4.87,8.03
Arryn Siposs,P,74,212,5.09,,,,,
James Smith-Williams,DE,75.63,265,4.6,28,32,123,4.52,7.35
L'Jarius Sneed,S,72.5,192,4.37,12,41,131,,
Nate Stanley,QB,75.75,235,4.81,,28.5,108,4.48,7.26
Terence Steele,OT,78,310,5.03,27,27.5,106,5.08,
Logan Stenberg,OG,78,317,5.3,,26,104,4.83,8
Simon Stepaniak,OG,76.13,313,,37,,,,
Darrell Stewart,WR,74,216,,15,35,117,,
Geno Stone,S,70.38,207,4.62,12,33.5,116,,
Justin Strnad,LB,75.38,238,4.74,,29,113,4.49,
Jason Strowbridge,DE,76.25,275,4.89,26,31,113,4.37,7.45
Stephen Sullivan,TE,76.88,248,4.66,,36.5,123,4.62,7.51
Freddie Swain,WR,72,199,4.46,16,36.5,124,4.26,7.05
D'Andre Swift,RB,68.25,212,4.48,,35.5,121,,
Tua Tagovailoa,QB,72,217,,,,,,
Charlie Taumoepeau,TE,74.25,240,4.75,18,36.5,121,4.27,7
Alex Taylor,OT,80.38,308,5.09,21,25,116,4.79,7.77
Darrell Taylor,DE,75.63,267,,,,,,
Davion Taylor,LB,72.5,228,4.49,21,35,127,4.26,6.96
J.J. Taylor,RB,66,185,4.61,19,34.5,118,4.15,7
Jonathan Taylor,RB,70.25,226,4.39,17,36,123,4.24,7.01
Patrick Taylor,RB,75,216,4.57,15,34,123,4.34,
Prince Wanogho Tega,OT,77,308,,,,,,
A.J. Terrell,CB,73.13,195,4.42,15,34.5,129,4.27,7.12
Andrew Thomas,OT,77.13,315,5.22,21,30.5,109,4.66,7.58
Daniel Thomas,S,71,209,4.51,24,37,125,,
Jeff Thomas,WR,68.88,170,4.45,,36.5,125,,
Stantley Thomas-Oliver,CB,74,184,4.48,,34,127,,
Calvin Throckmorton,OT,77,317,5.57,23,27,97,4.98,8.07
Casey Toohill,DE,76.38,250,4.62,17,39,126,4.21,7.08
Tommy Townsend,P,74,176,4.75,,,,,
Adam Trautman,TE,77,255,4.8,18,34.5,114,4.27,6.78
Michael Turk,P,72.5,226,4.79,25,34.5,108,4.72,
Derrek Tuszka,LB,76.5,251,4.79,24,33.5,120,4.34,6.87
Josh Uche,LB,73,241,,18,,,,
Ke'Shawn Vaughn,RB,69.63,214,4.51,,32,117,,
Binjimen Victor,WR,75.75,198,4.6,9,35,128,,7.1
Kindle Vildor,CB,69.88,191,4.44,22,39.5,133,4.28,7.14
Mykal Walker,LB,75,230,4.65,20,33,122,4.25,7.09
K'Von Wallace,S,71,206,4.53,18,38,133,4.15,6.76
Michael Warren,RB,69.13,226,,16,,,,
Broderick Washington,DT,74.25,305,,23,,,,
Quez Watkins,WR,72.13,185,4.35,,36.5,125,4.36,7.28
Curtis Weaver,DE,74.38,265,,,32.5,116,4.27,7
Evan Weaver,LB,74.13,237,4.76,15,32,117,4.21,7.02
Cody White,WR,75,215,4.66,,35.5,120,4.52,7.19
Mitchell Wilcox,TE,75.5,247,4.88,,31,112,4.43,7.37
Kenny Willekes,DE,75.5,264,4.87,32,32.5,119,,7.39
Darryl Williams,C,74.38,304,5.23,23,25.5,102,4.76,7.88
Raequan Williams,DT,76,308,5.04,17,25.5,101,4.78,7.72
Jedrick Wills,OT,76.25,312,5.05,,34.5,113,4.84,
Isaiah Wilson,OT,78.5,350,5.32,26,29,110,5.07,8.26
Logan Wilson,LB,74.13,241,4.63,21,32,121,4.27,7.07
Robert Windsor,DT,76.5,290,4.9,21,28.5,111,4.44,7.47
Antoine Winfield,S,69.13,203,4.45,,36,124,,
Tristan Wirfs,OT,76.88,320,4.85,24,36.5,121,4.68,7.65
Steven Wirtel,LS,76,227,4.76,,26,120,4.28,7.12
Charlie Woerner,TE,76.63,244,4.78,21,34.5,120,4.46,7.18
D.J. Wonnum,DE,76.63,258,4.73,20,34.5,123,4.44,7.25
Dom Wood-Anderson,TE,76,257,4.92,,35,119,,
David Woodward,ILB,73.75,230,4.79,16,33.5,114,4.37,7.34
Chase Young,DE,76.88,264,,,,,,
Jabari Zuniga,DE,75.38,264,4.64,29,33,127,,
Britton Abbott,FB,74.25,246,4.75,19,36,111,4.45,7.45
Micah Abernathy,FS,71.63,195,4.52,15,38.5,130,4.09,6.69
Johnathan Abram,S,71.38,205,4.45,,33.5,116,,
Paul Adams,OT,77.88,317,5.18,16,27,103,4.74,7.68
Nasir Adderley,S,71.75,206,4.62,19,38,129,,
Freedom Akinmoladun,DT,75.25,284,4.96,19,33,118,4.62,7.35
Curtis Akins,ILB,72.88,235,4.57,25,33,117,4.44,7.28
Azeez Al-Shaair,LB,72.75,234,,16,,,,
Otaro Alaka,LB,75,239,4.82,20,36,131,4.51,7.03
Ed Alexander,DT,73.25,319,5.26,28,25.5,104,5.1,8.8
Michael Alexander,FB,71.13,242,4.68,26,33.5,117,4.51,7.53
Terrence Alexander,CB,69.5,183,4.58,7,35,115,4.55,6.94
Joey Alfieri,OLB,74.63,235,4.54,17,33.5,118,4.36,7.03
Nick Allegretti,C,76.25,310,5.32,22,29.5,103,4.66,7.56
Dakota Allen,LB,72.75,232,4.77,23,31.5,116,4.04,6.88
Josh Allen,EDG,76.88,262,4.63,28,33.5,118,4.23,7.15
Larry Allen,OG,75,307,5.29,29,25.5,97,5.46,8.5
Zach Allen,DE,76.13,281,5,24,32,112,4.36,7.34
Bryson Allen-Williams,LB,72.63,236,4.88,14,31,109,4.52,7.4
Jeff Allison,LB,71.88,228,4.82,12,31,115,4.45,7.2
Ugochukwu Amadi,CB,69.38,199,4.51,18,32.5,115,4.19,7.21
Bruce Anderson,RB,71.25,210,4.58,22,31,119,4.47,7.23
Calvin Anderson,OG,76.5,292,5.31,30,31,112,4.45,7.2
Rodney Anderson,RB,72.38,224,,25,,,,
Jesse Aniebonam,DE,75.63,258,4.69,21,32.5,123,4.45,7.4
Marcus Applefield,OT,76.88,304,5.3,32,26.5,108,4.62,7.23
J.J. Arcega-Whiteside,WR,74,225,4.5,,34,119,4.41,7.23
Ryquell Armstead,RB,71.25,220,4.45,22,30,114,4.29,7.02
George Asafo-Adjei,OG,76.5,306,5.03,31,30,109,4.88,8.07
Dravon Askew-Henry,FS,70.75,202,4.52,18,35,121,4.47,7.21
George Aston,FB,71.38,244,4.75,29,32.5,118,4.38,7.25
Blessuan Austin,CB,72.63,198,4.69,15,35.5,123,,
Jaelan Austin,WR,71.75,194,,4,,,,
Dameon Baber,FS,69.88,197,4.59,16,34.5,120,4.29,6.98
Alex Bachman,WR,71.38,195,4.47,17,33,127,4.28,6.71
Jake Bailey,P,73.38,200,4.72,,33,117,,
Zack Bailey,OL,77.13,299,5.21,24,28,103,4.88,7.71
Derrick Baity,CB,74.13,197,4.64,10,38.5,127,4.31,7.06
Dalton Baker,FS,70.63,186,4.51,22,32,108,4.37,7.08
Deandre Baker,CB,71.13,193,4.52,14,31.5,118,4.27,6.95
Kendall Baker,OT,76.88,314,,23,,,,
Corey Ballentine,CB,71,196,4.47,15,39.5,135,4.14,6.82
Ben Banogu,EDG,75.5,250,4.62,23,40,134,4.27,7.02
Alex Barnes,RB,72.38,226,4.59,34,38.5,126,4.1,6.95
John Baron,K,69.13,189,,,,,,
Kirk Barron,C,73.88,309,5.19,36,25.5,105,4.62,7.94
Alex Bars,OG,77.88,312,,,,,,
Cody Barton,LB,74.5,237,4.64,30,32.5,116,4.03,6.9
Jackson Barton,OT,79.25,310,5.18,25,27,109,4.66,7.85
Ryan Bates,OT,76.5,306,5.09,28,27,102,4.53,7.45
John Battle,S,72.5,201,4.67,11,29.5,120,4.33,7.09
Andrew Beck,TE,74.88,252,4.63,23,34,119,4.26,7.34
Terry Beckner,DT,75.63,296,5.19,28,24.5,98,4.82,7.97
David Beedle,OG,76.13,305,5.64,26,21.5,97,4.92,7.9
Mike Bell,S,74.75,210,4.83,10,30,118,4.46,7.1
Quinton Bell,OLB,75.38,238,4.53,23,41,136,,7.25
Kamryn Bennett,OG,75.13,291,5.34,21,23.5,93,4.97,8.14
Beau Benzschawel,OG,78.25,309,5.24,20,26.5,98,4.74,7.48
Kenny Bigelow,DT,75.5,307,5.1,31,28,96,,
Josh Black,OLB,72.5,236,4.93,18,28.5,106,4.67,7.7
Marquise Blair,S,73.25,195,4.48,,35,125,4.49,6.84
Kendall Blanton,TE,78.25,262,4.95,22,31,113,4.42,7.37
Amani Bledsoe,DE,76.5,280,4.95,25,31,115,4.58,7.69
David Blough,QB,72.25,200,4.91,,31.5,107,4.55,7.22
Joe Blue,FB,69,230,4.83,16,30.5,111,4.56,7.78
Curtis Bolton,OLB,72.13,228,4.59,17,38,119,4.35,7.19
Jonathan Bonner,DT,75.5,289,5.02,,32.5,116,4.69,7.41
Dante Booker,OLB,74.63,236,4.75,23,33,119,4.3,6.94
Alex Bookser,OT,78.13,318,,29,,,,
Nick Bosa,DE,75.75,266,4.79,29,33.5,116,4.14,7.1
Kris Boyd,CB,71.5,201,4.45,19,36.5,127,4.08,6.94
Miles Boykin,WR,75.75,220,4.42,12,43.5,140,4.07,6.77
Garrett Bradbury,C,74.88,306,4.92,34,31,104,4.53,7.41
Tyre Brady,WR,74.88,211,4.76,12,32,117,4.25,7.24
Jordan Brailford,EDG,74.63,252,4.65,22,37.5,126,4.35,7.44
