Name,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
Trey Ragas,RB,70.13,218,4.63,23,33.5,117,4.5,7.15
John Raine,FB,73,231,5.05,15,31,107,4.54,7.32
Peyton Ramsey,QB,73.88,215,4.77,,28,108,4.41,7.28
Kenny Randall,DT,73.63,302,5.04,29,34,117,4.7,7.59
Hamilcar Rashed,OLB,74.38,251,4.62,25,35.5,128,4.5,7.51
Justus Reed,DE,75,253,4.81,22,30.5,117,4.62,7.44
Monty Rice,ILB,72.38,233,4.58,,32,121,4.33,7.34
Max Richardson,ILB,71.75,223,4.83,24,34,121,4.24,7.2
Aaron Robinson,CB,71.5,186,4.39,15,37,123,4.31,6.9
Curtis Robinson,ILB,75.13,236,4.6,22,37.5,117,4.26,7
Janarius Robinson,DE,77.38,266,4.69,25,34,121,4.46,7.31
Quincy Roche,OLB,74.63,245,4.69,23,32.5,119,4.5,7.2
Robert Rochell,CB,71.75,193,4.41,9,43,133,4.08,6.84
Amari Rodgers,WR,69.5,212,4.52,19,33,121,4.31,7.07
Asim Rose,RB,73,215,4.53,24,34,120,4.62,7.26
Larry Rountree,RB,70.63,211,4.7,18,30,108,4.47,6.96
Greg Rousseau,DE,78.63,266,4.68,21,30,115,4.53,7.5
Cameron Sample,DE,74.75,267,4.83,23,37,116,4.51,7.4
Asante Samuel,CB,70.13,180,4.41,12,35,124,4.09,6.98
Mekhi Sargent,RB,68.38,208,4.69,18,33.5,113,4.3,7.08
Ry Schneider,C,74.38,312,5.67,26,23.5,85,5.37,8.51
Jordon Scott,DT,72,311,,23,,115,,
Joe Sculthorpe,OG,74.25,295,5.26,23,28,105,4.63,7.69
Trey Sermon,RB,72.38,215,4.61,,37,125,4.3,6.84
Penei Sewell,OT,76.88,331,5.1,30,28,109,4.68,7.76
Tyler Shelvin,DT,74.13,350,5.41,,28.5,97,5.08,8.15
Jamien Sherwood,SS,73.75,216,4.76,15,36,123,4.36,7.15
Antjuan Simmons,ILB,71.63,218,4.88,15,32,112,4.27,7.31
T.J. Simmons,WR,73.38,208,4.59,13,32,120,4.55,7.22
Bennett Skowronek,WR,74.88,220,,13,,118,,
Rashawn Slater,OG,76.25,304,4.91,33,33,112,4.45,7.48
Tedarrell Slaton,DT,76,330,5.09,27,29,109,4.84,7.91
Brandon Smith,WR,73.38,218,4.64,21,39,130,,
DAnte Smith,OG,77.38,305,5.33,24,29,113,4.75,7.9
DeVonta Smith,WR,72.25,170,,,,131,,
Elerson Smith,DE,78.25,252,4.78,26,41.5,127,4.39,7.11
James Smith,P,76.75,231,,,,123,,
Shi Smith,WR,69.5,186,4.46,,36,123,4.22,6.79
Trey Smith,OG,77.5,321,5.11,32,31,112,4.82,7.43
Zach Smith,QB,75.38,222,5.23,,29.5,111,4.52,7.26
Ihmir Smith-Marsette,WR,72.75,181,4.5,10,37,124,4.23,7.06
Charles Snowden,OLB,78.38,243,,21,,128,,
Dylan Soehner,TE,78.63,268,4.86,,30.5,112,4.43,7.32
Kyle Spalding,OT,78.5,299,5.4,18,25.5,101,4.88,7.9
Marquiss Spencer,DT,75.63,301,4.87,12,31.5,111,4.51,7.28
Benjamin St-Juste,CB,75.25,202,4.55,11,34.5,119,4.01,6.63
Amon-Ra St. Brown,WR,71.5,197,4.61,20,38.5,127,4.26,6.9
Brandon Stephens,CB,72.13,213,4.44,19,38,127,4.29,6.99
Caden Sterns,FS,71.88,202,4.41,14,42,128,4.13,6.96
JaCoby Stevens,OLB,73.13,212,4.62,,42,130,,
Marquez Stevenson,WR,70.13,180,4.48,,33,122,4.21,6.86
Rhamondre Stevenson,RB,71.63,231,4.64,15,31.5,112,4.15,7.09
Brad Stewart,FS,72.13,195,4.59,11,33.5,126,4.4,7.25
Darius Stills,DT,72.5,278,4.98,23,32.5,110,4.49,7.18
Donovan Stiner,SS,73.5,205,4.58,15,34.5,127,4.23,7.08
Eric Stokes,CB,72.63,194,4.31,14,38.5,128,4.36,6.96
Mason Stokke,FB,74.13,242,4.96,22,30.5,112,4.34,7.2
Jack Stoll,TE,75.75,247,4.68,16,31.5,119,4.29,6.93
Dillon Stoner,WR,72.13,194,4.57,16,37,123,4.18,6.95
Eli Stove,WR,71.38,194,4.54,14,30.5,119,4.4,7.34
Mike Strachan,WR,77.38,226,4.54,20,35,127,4.36,6.96
Grant Stuard,OLB,71.63,225,,28,,117,,
