name,five_ft_split,ten_ft_split,fifteen_ft_split,twenty_ft_split,twenty_five_ft_split,thirty_ft_split,thirty_five_ft_split,forty_ft_split,forty_five_ft_split,fifty_ft_split,fifty_five_ft_split,sixty_ft_split,sixty_five_ft_split,seventy_ft_split,seventy_five_ft_split,eighty_ft_split,eighty_five_ft_split,ninety_ft_split,ID,weight,height,bats,throws
"Barnhart, Tucker",0.5507692308,0.8769230769,1.160769231,1.422307692,1.664615385,1.893846154,2.115384615,2.330769231,2.537692308,2.742307692,2.946153846,3.145384615,3.344615385,3.541538462,3.74,3.942307692,4.149230769,4.374615385,903,192,71,B,R
"Barreto, Franklin",0.52,0.81,1.06,1.29,1.51,1.71,1.9,2.09,2.27,2.44,2.62,2.79,2.95,3.12,3.28,3.45,3.62,3.79,925,208,70,R,R
"Barrera, Luis",0.51,0.8,1.05,1.28,1.49,1.69,1.88,2.07,2.25,2.43,2.6,2.78,2.95,3.12,3.29,3.46,3.64,3.83,929,195,72,L,L
"Barrera, Tres",0.57,0.91,1.2,1.46,1.7,1.92,2.14,2.35,2.56,2.76,2.97,3.17,3.37,3.56,3.75,3.95,4.16,4.37,937,215,72,R,R
"Bart, Joey",0.5533333333,0.88,1.16,1.406666667,1.64,1.86,2.063333333,2.266666667,2.46,2.653333333,2.836666667,3.023333333,3.206666667,3.386666667,3.563333333,3.74,3.92,4.106666667,967,238,74,R,R
"Batten, Matthew",0.55,0.86,1.13,1.36,1.58,1.79,1.99,2.18,2.36,2.55,2.72,2.9,3.07,3.24,3.41,3.58,3.76,3.94,1028,180,71,R,R
"Baty, Brett",0.54,0.83,1.1,1.33,1.55,1.76,1.96,2.15,2.34,2.53,2.71,2.89,3.07,3.25,3.43,3.61,3.79,3.99,1035,211,75,L,R
"Bauers, Jake",0.545,0.85,1.115,1.3525,1.58,1.7875,1.9875,2.18,2.3675,2.5525,2.735,2.9125,3.0925,3.2625,3.44,3.615,3.7975,3.985,1038,195,73,L,L
"Beaty, Matt",0.5433333333,0.8533333333,1.123333333,1.366666667,1.593333333,1.81,2.016666667,2.213333333,2.406666667,2.6,2.786666667,2.97,3.156666667,3.343333333,3.523333333,3.706666667,3.9,4.103333333,1113,215,72,L,R
"Beckham, Gordon",0.54,0.8366666667,1.1,1.35,1.583333333,1.803333333,2.013333333,2.213333333,2.413333333,2.606666667,2.796666667,2.986666667,3.176666667,3.36,3.55,3.733333333,3.93,4.126666667,1141,188,72,R,R
"Beckham, Tim",0.562,0.874,1.144,1.39,1.618,1.832,2.04,2.236,2.428,2.616,2.798,2.978,3.154,3.334,3.508,3.684,3.862,4.042,1142,215,72,R,R
"Beer, Seth",0.54,0.87,1.14,1.39,1.63,1.85,2.07,2.28,2.49,2.7,2.89,3.09,3.29,3.49,3.69,3.89,4.11,4.35,1172,213,75,L,R
"Bellinger, Cody",0.5414285714,0.8342857143,1.087142857,1.315714286,1.528571429,1.731428571,1.924285714,2.111428571,2.291428571,2.468571429,2.647142857,2.821428571,2.99,3.158571429,3.33,3.498571429,3.678571429,3.872857143,1221,203,76,L,L
"Bell, Josh",0.5542857143,0.8721428571,1.145,1.397142857,1.631428571,1.852142857,2.062857143,2.264285714,2.463571429,2.657142857,2.845714286,3.032857143,3.215714286,3.397142857,3.58,3.761428571,3.949285714,4.147142857,1226,230,74,B,R
"Bell, Josh",0.5542857143,0.8721428571,1.145,1.397142857,1.631428571,1.852142857,2.062857143,2.264285714,2.463571429,2.657142857,2.845714286,3.032857143,3.215714286,3.397142857,3.58,3.761428571,3.949285714,4.147142857,1227,261,76,B,R
"Belt, Brandon",0.5477777778,0.8511111111,1.121111111,1.372222222,1.605555556,1.828888889,2.04,2.242222222,2.442222222,2.638888889,2.83,3.02,3.205555556,3.396666667,3.582222222,3.771111111,3.966666667,4.178888889,1244,231,75,L,L
