player_id,player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,body_fat_pct,drafted
202331.0,Paul George,2010.0,2010,10.0,SF,79.75,214.4,83.25,107.0,,,4.0,,,,8.5,9.0,5.0,True
1627774.0,Jake Layman,2016.0,2016,47.0,SF,80.0,208.6,81.25,102.0,33.0,39.5,,11.350000000000001,3.24,2.82,8.25,9.25,7.1,True
12192.0,Viktor Keyru,,2006,,SG-PG,77.25,202.0,81.25,104.0,29.0,34.5,11.0,11.4,3.24,,,,5.5,False
200756.0,Hilton Armstrong,2006.0,2006,12.0,C-PF,81.5,240.0,88.0,109.0,28.5,31.5,13.0,12.28,3.53,,,,6.3,True
201948.0,Austin Daye,2009.0,2009,15.0,SF-PF,81.75,191.8,86.75,110.0,25.0,28.0,0.0,12.11,3.55,,,,5.5,True
203500.0,Steven Adams,2013.0,2013,12.0,C,82.75,254.5,88.5,109.5,28.5,33.0,16.0,11.850000000000001,3.4,3.02,9.5,11.0,6.6499999999999995,True
12211.0,Rashaun Freeman,,2007,,PF,78.0,244.0,83.5,104.0,28.0,32.0,20.0,11.43,3.4099999999999997,,,,11.5,False
2215.0,Jason Collins,2001.0,2001,18.0,PF-C,82.25,251.0,88.5,110.0,25.5,28.5,8.0,12.1,3.54,,,,12.9,True
12458.0,J'Covan Brown,,2012,,PG,73.0,202.4,77.25,96.0,26.0,29.5,3.0,11.68,3.4699999999999998,,7.75,8.25,12.5,False
12076.0,Ruben Douglas,,2003,,SG,75.5,193.0,79.25,100.5,28.5,35.0,9.0,11.950000000000001,3.27,,,,6.0,False
12316.0,Keith Gallon,,2010,,PF-C,80.5,301.8,88.5,109.5,23.5,28.5,14.0,13.44,3.7,,9.25,10.5,15.1,False
1628476.0,Derrick Walton Jr.,,2017,,PG,71.0,188.6,74.5,95.0,26.0,32.5,9.0,11.28,3.29,3.12,8.0,8.5,5.8,False
203089.0,John Henson,2012.0,2012,14.0,PF,81.0,216.0,89.0,112.0,25.5,30.0,5.0,,,,9.25,10.0,8.6,True
1629651.0,Nicolas Claxton,2019.0,2019,31.0,C,82.0,216.6,86.5,110.0,31.5,36.5,8.0,11.26,3.36,3.4699999999999998,9.25,9.5,4.5,True
101195.0,Luke Schenscher,,2005,,C,83.75,241.6,89.0,111.5,23.5,26.5,1.0,12.4,3.4699999999999998,,,,,False
1626178.0,Rondae Hollis-Jefferson,2015.0,2015,23.0,SF,77.5,210.8,86.0,104.0,32.0,38.0,13.0,10.41,3.12,3.19,8.75,9.75,5.0,True
